ID,lat,Spaces,x,description,y:location_lat,y:location_lon,y,CycleStandLocations,y:row,northing,title,lng,easting
1,51.389245241052,14,529383,"14 cycle parking spaces"," "," ",167216,"Beddington Lane Tram stop",2,167216,"Beddington Lane Tram stop",-0.14189388014536,529383
2,51.385563930469,12,530312,"12 cycle parking spaces"," "," ",166830,"Therapia Lane Tram stop",3,166830,"Therapia Lane Tram stop",-0.12869152781394,530312
3,51.38520574734,10,530228,"10 cycle parking spaces"," "," ",166788,"Junction of Coomber Road &amp;#92;/ Ampere Way",4,166788,"Junction of Coomber Road &amp;#92;/ Ampere Way",-0.12991336786032,530228
4,51.377100700534,6,530184,"6 cycle parking spaces"," "," ",165885,Asda,5,165885,Asda,-0.13087594831764,530184
5,51.373284618211,2,529619,"2 cycle parking spaces"," "," ",165446,"Beddington Park South Car Park",6,165446,"Beddington Park South Car Park",-0.13914930649291,529619
6,51.371562616841,10,530115,"10 cycle parking spaces"," "," ",165267,"Beddington Village Hall",7,165267,"Beddington Village Hall",-0.132092853635,530115
7,51.370192903852,2,528313,"2 cycle parking spaces"," "," ",165069,"8 Butter Hill",8,165069,"8 Butter Hill",-0.15803799901183,528313
8,51.368553171841,4,528530,"4 cycle parking spaces"," "," ",164892,"Junction of Butter Hill &amp;#92;/ London Road",9,164892,"Junction of Butter Hill &amp;#92;/ London Road",-0.15498626853212,528530
9,51.367851034173,2,530115,"2 cycle parking spaces"," "," ",164854,"202 Croydon Road",10,164854,"202 Croydon Road",-0.13224389395772,530115
10,51.367796254513,2,530158,"2 cycle parking spaces"," "," ",164849,"178 Croydon Road",11,164849,"178 Croydon Road",-0.1316283715759,530158
11,51.367516287129,2,530164,"2 cycle parking spaces"," "," ",164818,"7 The Broadway",12,164818,"7 The Broadway",-0.13155356973839,530164
12,51.367509645248,2,530193,"2 cycle parking spaces"," "," ",164818,"1 The Broadway",13,164818,"1 The Broadway",-0.13113721965453,530193
13,51.366957440566,4,530132,"4 cycle parking spaces"," "," ",164755,"Beddington Library",14,164755,"Beddington Library",-0.13203603049807,530132
14,51.366912277188,4,530133,"4 cycle parking spaces"," "," ",164750,"20 Plough Lane",15,164750,"20 Plough Lane",-0.13202350230367,530133
15,51.361528258394,2,529586,"2 cycle parking spaces"," "," ",164137,"54 Demesne Road",16,164137,"54 Demesne Road",-0.14009985653232,529586
16,51.359519707683,4,529645,"4 cycle parking spaces"," "," ",163915,"144 Stafford Road",17,163915,"144 Stafford Road",-0.13933375852879,529645
17,51.359538686477,4,529680,"4 cycle parking spaces"," "," ",163918,"160 Stafford Road",18,163918,"160 Stafford Road",-0.13883025950836,529680
18,51.359496395073,4,529629,"4 cycle parking spaces"," "," ",163912,"140 Stafford Road",19,163912,"140 Stafford Road",-0.1395645224086,529629
19,51.358642925244,1,529312,"1 cycle parking spaces"," "," ",163809,"70-72 Stafford Road",20,163809,"70-72 Stafford Road",-0.14415230900634,529312
20,51.358517562646,1,529310,"1 cycle parking spaces"," "," ",163795,"53 Stafford Road",21,163795,"53 Stafford Road",-0.14418610252886,529310
21,51.358492302002,2,529263,"2 cycle parking spaces"," "," ",163791,"60 Stafford Road",22,163791,"60 Stafford Road",-0.14486220210028,529263
22,51.360360710971,10,528871,"10 cycle parking spaces"," "," ",163989,"Wallington Station",23,163989,"Wallington Station",-0.15041738217853,528871
23,51.359856921769,2,528834.82,"2 cycle parking spaces"," "," ",163932.03,"Lidl, Beddington Gardens",24,163932.03,"Lidl, Beddington Gardens",-0.15095735793354,528834.82
24,51.360161244235,4,528958,"4 cycle parking spaces"," "," ",163969,"23 Ross Parade",25,163969,"23 Ross Parade",-0.14917575894581,528958
25,51.35957966866,2,528907,"2 cycle parking spaces"," "," ",163903,"36 Woodcote Road",26,163903,"36 Woodcote Road",-0.14993175069861,528907
26,51.358248603811,2,528951,"2 cycle parking spaces"," "," ",163756,"64 Woodcote Road",27,163756,"64 Woodcote Road",-0.14935339558931,528951
27,51.358248603811,2,528951,"2 cycle parking spaces"," "," ",163756,"84 Woodcote Road",28,163756,"84 Woodcote Road",-0.14935339558931,528951
28,51.358248603811,2,528951,"2 cycle parking spaces"," "," ",163756,"108 Woodcote Road",29,163756,"108 Woodcote Road",-0.14935339558931,528951
29,51.358248603811,2,528951,"2 cycle parking spaces"," "," ",163756,"Wallington Square",30,163756,"Wallington Square",-0.14935339558931,528951
30,51.358120683259,4,528881,"4 cycle parking spaces"," "," ",163740,"Shotfield North Car Park",31,163740,"Shotfield North Car Park",-0.15036397861512,528881
31,51.358023264291,6,528835,"6 cycle parking spaces"," "," ",163728,"Wallington Library Entrance",32,163728,"Wallington Library Entrance",-0.1510286107216,528835
32,51.357919648581,2,528856,"2 cycle parking spaces"," "," ",163717,"Wallington Library Cafe",33,163717,"Wallington Library Cafe",-0.15073115603791,528856
33,51.357490161584,4,528808,"4 cycle parking spaces"," "," ",163668,"Shotfield South Car Park",34,163668,"Shotfield South Car Park",-0.15143787873657,528808
34,51.357107482962,4,528950,"4 cycle parking spaces"," "," ",163629,"Woodcote Road junction  with  Stanley Park Road",35,163629,"Woodcote Road junction  with  Stanley Park Road",-0.14941374761276,528950
35,51.357600320283,4,528996,"4 cycle parking spaces"," "," ",163685,"3-4 South Parade",36,163685,"3-4 South Parade",-0.14873318391705,528996
36,51.357600320283,4,528996,"4 cycle parking spaces"," "," ",163685,"3 Stafford Road",37,163685,"3 Stafford Road",-0.14873318391705,528996
37,51.357600320283,2,528996,"2 cycle parking spaces"," "," ",163685,"Stafford Road outside Sainsbury's",38,163685,"Stafford Road outside Sainsbury's",-0.14873318391705,528996
38,51.358034238169,14,529064,"14 cycle parking spaces"," "," ",163735,"Stafford Road Sainsbury's",39,163735,"Stafford Road Sainsbury's",-0.14773899072242,529064
39,51.35798884928,8,529066,"8 cycle parking spaces"," "," ",163730,"Stafford Road Sainsbury's",40,163730,"Stafford Road Sainsbury's",-0.14771209518792,529066
40,51.353295026595,6,529985,"6 cycle parking spaces"," "," ",163231,"Mollison Drive",41,163231,"Mollison Drive",-0.13470295848265,529985
41,51.35324513263,4,530046,"4 cycle parking spaces"," "," ",163227,"Manor GP practice",42,163227,"Manor GP practice",-0.13382891808912,530046
42,51.353248401967,18,530071,"18 cycle parking spaces"," "," ",163228,"Phoenix Leisure Centre",43,163228,"Phoenix Leisure Centre",-0.13346974140265,530071
43,51.357046929099,13,530789,"13 cycle parking spaces"," "," ",163669,"Surrey Health &amp; Rackets Club",44,163669,"Surrey Health &amp; Rackets Club",-0.12300274539756,530789
44,51.365789816165,2,526708,"2 cycle parking spaces"," "," ",164539,"East of Westmead Road &amp;#92;/ The Crescent junction",45,164539,"East of Westmead Road &amp;#92;/ The Crescent junction",-0.18127148891868,526708
45,51.365816554668,2,526709,"2 cycle parking spaces"," "," ",164542,"84 Westmead Road",46,164542,"84 Westmead Road",-0.18125606398705,526709
46,51.365834306031,2,526710,"2 cycle parking spaces"," "," ",164544,"82 Westmead Road",47,164544,"82 Westmead Road",-0.18124099509663,526710
47,51.365852057392,2,526711,"2 cycle parking spaces"," "," ",164546,"75 Westmead Road",48,164546,"75 Westmead Road",-0.18122592619442,526711
48,51.365869808751,2,526712,"2 cycle parking spaces"," "," ",164548,"114 Westmead Road",49,164548,"114 Westmead Road",-0.18121085728044,526712
49,51.365887560108,2,526713,"2 cycle parking spaces"," "," ",164550,"120 Westmead Road",50,164550,"120 Westmead Road",-0.18119578835468,526713
50,51.365905311463,4,526714,"4 cycle parking spaces"," "," ",164552,"Westmead Road &amp;#92;/ Cowper Avenue junction",51,164552,"Westmead Road &amp;#92;/ Cowper Avenue junction",-0.18118071941713,526714
51,51.36613075372,4,527354,"4 cycle parking spaces"," "," ",164593,"1 Westmead Corner",52,164593,"1 Westmead Corner",-0.17197773294238,527354
52,51.366217263698,4,527369,"4 cycle parking spaces"," "," ",164603,"2 Westmead Corner",53,164603,"2 Westmead Corner",-0.17175880182698,527369
53,51.366401286575,2,527390,"2 cycle parking spaces"," "," ",164624,"6 Westmead Corner",54,164624,"6 Westmead Corner",-0.17144979101188,527390
54,51.365840853964,2,528164,"2 cycle parking spaces"," "," ",164581,"29 Beacon Grove",55,164581,"29 Beacon Grove",-0.1603531106628,528164
55,51.365768506762,2,528166,"2 cycle parking spaces"," "," ",164573,"31 Beacon Grove",56,164573,"31 Beacon Grove",-0.16032727866151,528166
56,51.365632348409,2,528172,"2 cycle parking spaces"," "," ",164558,"33 Beacon Grove",57,164558,"33 Beacon Grove",-0.16024654164193,528172
57,51.365518222655,2,528160,"2 cycle parking spaces"," "," ",164545,"31-33 High Street",58,164545,"31-33 High Street",-0.16042350191456,528160
58,51.365484979929,2,528148,"2 cycle parking spaces"," "," ",164541,"31-33 High Street",59,164541,"31-33 High Street",-0.16059722045388,528148
59,51.365488135917,2,528134,"2 cycle parking spaces"," "," ",164541,"27-29 High Street",60,164541,"27-29 High Street",-0.16079821151188,528134
60,51.365178548341,2,528112,"2 cycle parking spaces"," "," ",164506,"46 High Street",61,164506,"46 High Street",-0.16112665437186,528112
61,51.357469552502,2,527584,"2 cycle parking spaces"," "," ",163635,"1 Gordon Road",62,163635,"1 Gordon Road",-0.1690190538058,527584
62,51.357472031734,2,527613,"2 cycle parking spaces"," "," ",163636,"15 Gordon Road",63,163636,"15 Gordon Road",-0.16860242757536,527613
63,51.357444834979,2,527574,"2 cycle parking spaces"," "," ",163632,"6 Station Parade",64,163632,"6 Station Parade",-0.16916366941279,527574
64,51.357493195941,4,527278,"4 cycle parking spaces"," "," ",163630,"46 Banstead Road",65,163630,"46 Banstead Road",-0.173413193759,527278
65,51.357551852332,2,527297,"2 cycle parking spaces"," "," ",163637,"67 Banstead Road",66,163637,"67 Banstead Road",-0.17313796297717,527297
66,51.357294360263,2,527283,"2 cycle parking spaces"," "," ",163608,"75 Banstead Road",67,163608,"75 Banstead Road",-0.17334928815875,527283
67,51.357254125211,2,527262,"2 cycle parking spaces"," "," ",163603,"52 Banstead Road",68,163603,"52 Banstead Road",-0.17365251031904,527262
68,51.357214819344,2,527277,"2 cycle parking spaces"," "," ",163599,"79 Banstead Road",69,163599,"79 Banstead Road",-0.17343862972712,527277
69,51.357076621011,2,527252,"2 cycle parking spaces"," "," ",163583,"56 Banstead Road",70,163583,"56 Banstead Road",-0.17380319878019,527252
70,51.356983616572,2,527266,"2 cycle parking spaces"," "," ",163573,"83 Banstead Road",71,163573,"83 Banstead Road",-0.17360581749018,527266
71,51.356908103714,2,527242,"2 cycle parking spaces"," "," ",163564,"62 Banstead Road",72,163564,"62 Banstead Road",-0.17395352869186,527242
72,51.356814651925,2,527258,"2 cycle parking spaces"," "," ",163554,"91 Banstead Road",73,163554,"91 Banstead Road",-0.17372744001042,527258
73,51.356636923811,2,527249,"2 cycle parking spaces"," "," ",163534,"97 Banstead Road",74,163534,"97 Banstead Road",-0.17386377285508,527249
74,51.356860418961,1,527495,"1 cycle parking spaces"," "," ",163565,"3 Beeches Avenue",75,163565,"3 Beeches Avenue",-0.17032163250115,527495
75,51.356716401199,4,527496,"4 cycle parking spaces"," "," ",163549,"8 Beeches Avenue",76,163549,"8 Beeches Avenue",-0.17031300794762,527496
76,51.354857410006,2,528050,"2 cycle parking spaces"," "," ",163356,"140 Stanley Park Road",77,163356,"140 Stanley Park Road",-0.1624304153863,528050
77,51.354685999303,2,528013,"2 cycle parking spaces"," "," ",163336,"154 Stanley Park Road",78,163336,"154 Stanley Park Road",-0.16296867364509,528013
78,51.354694517004,2,528055,"2 cycle parking spaces"," "," ",163338,"101 Stanley Park Road",79,163338,"101 Stanley Park Road",-0.16236512243648,528055
79,51.325838988657,4,528644,"4 cycle parking spaces"," "," ",160142,"1 Hillcrest Parade",80,160142,"1 Hillcrest Parade",-0.15506479730856,528644
80,51.386480436305,1,524626,"1 cycle parking spaces"," "," ",166790,"139 Epsom Road",81,166790,"139 Epsom Road",-0.2103738909519,524626
81,51.386153611931,2,524600,"2 cycle parking spaces"," "," ",166753,"151 Epsom Road",82,166753,"151 Epsom Road",-0.21076031111341,524600
82,51.386004118779,2,524585,"2 cycle parking spaces"," "," ",166736,"155 Epsom Road",83,166736,"155 Epsom Road",-0.21098172002029,524585
83,51.385533059496,2,524520,"2 cycle parking spaces"," "," ",166682,"16 Stonecot Hill",84,166682,"16 Stonecot Hill",-0.21193425275589,524520
84,51.385289745884,2,524523,"2 cycle parking spaces"," "," ",166655,"5 Stonecot Hill",85,166655,"5 Stonecot Hill",-0.21190062142071,524523
85,51.38503130563,2,524472,"2 cycle parking spaces"," "," ",166625,"38 Stonecot Hill",86,166625,"38 Stonecot Hill",-0.212643644755,524472
86,51.385392282726,12,522772,"12 cycle parking spaces"," "," ",166624,"The Hamptons",87,166624,"The Hamptons",-0.23706140390616,522772
87,51.384873262761,2,524496,"2 cycle parking spaces"," "," ",166608,"23 Stonecot Hill",88,166608,"23 Stonecot Hill",-0.21230488577519,524496
88,51.384510482612,2,524470,"2 cycle parking spaces"," "," ",166567,"33 Stonecot Hill",89,166567,"33 Stonecot Hill",-0.21269267905888,524470
89,51.38420425336,2,524432,"2 cycle parking spaces"," "," ",166532,"47 Stonecot Hill",90,166532,"47 Stonecot Hill",-0.21325071914112,524432
90,51.383627965306,2,524396,"2 cycle parking spaces"," "," ",166467,"71 Stonecot Hill",91,166467,"71 Stonecot Hill",-0.21379052382051,524396
91,51.383474580897,4,524972,"4 cycle parking spaces"," "," ",166464,"393 Sutton Common Road",92,166464,"393 Sutton Common Road",-0.20551875025506,524972
92,51.383437032754,2,524365,"2 cycle parking spaces"," "," ",166445,"79 Stonecot Hill",93,166445,"79 Stonecot Hill",-0.21424346061695,524365
93,51.383334272163,2,524997,"2 cycle parking spaces"," "," ",166449,"384 Sutton Common Road",94,166449,"384 Sutton Common Road",-0.20516496207524,524997
94,51.383137397979,4,525034,"4 cycle parking spaces"," "," ",166428,"368 Sutton Common Road",95,166428,"368 Sutton Common Road",-0.20464093753475,525034
95,51.383007614798,4,525052,"4 cycle parking spaces"," "," ",166414,"362 Sutton Common Road",96,166414,"362 Sutton Common Road",-0.20438733924441,525052
96,51.380099278332,2,525240,"2 cycle parking spaces"," "," ",166095,"256 Sutton Common Road",97,166095,"256 Sutton Common Road",-0.20179958965374,525240
97,51.380512582488,4,523268,"4 cycle parking spaces"," "," ",166093,"Dorchester Road rec ground",98,166093,"Dorchester Road rec ground",-0.2301213210459,523268
98,51.380050011621,2,524113,"2 cycle parking spaces"," "," ",166062,"836 London Road",99,166062,"836 London Road",-0.21799652411085,524113
99,51.379905777975,4,524115,"4 cycle parking spaces"," "," ",166046,"Hamilton Avenue &amp;#92;/ London Road junction",100,166046,"Hamilton Avenue &amp;#92;/ London Road junction",-0.21797338582716,524115
100,51.37970562291,4,524085,"4 cycle parking spaces"," "," ",166023,"830 London Road",101,166023,"830 London Road",-0.21841225602298,524085
101,51.379253745272,6,523973,"6 cycle parking spaces"," "," ",165970,"St Anthony's Hospital, London Road",102,165970,"St Anthony's Hospital, London Road",-0.2200392127995,523973
102,51.37936720978,4,522330,"4 cycle parking spaces"," "," ",165943,"163 Central Road",103,165943,"163 Central Road",-0.24364432790323,522330
103,51.37879888271,2,522465,"2 cycle parking spaces"," "," ",165883,"Caldbeck Avenue &amp;#92;/ Central Road junction",104,165883,"Caldbeck Avenue &amp;#92;/ Central Road junction",-0.24172619023343,522465
104,51.378362892017,6,522528,"6 cycle parking spaces"," "," ",165836,"Washington Road &amp;#92;/ Central Road junction",105,165836,"Washington Road &amp;#92;/ Central Road junction",-0.24083762224108,522528
105,51.37825055895,10,522382,"10 cycle parking spaces"," "," ",165820,Waitrose,106,165820,Waitrose,-0.24293986017693,522382
106,51.378206293619,4,522504,"4 cycle parking spaces"," "," ",165818,"113 Central Road",107,165818,"113 Central Road",-0.24118849084154,522504
107,51.378142880925,4,522548,"4 cycle parking spaces"," "," ",165812,"110 Central Road",108,165812,"110 Central Road",-0.24055866946874,522548
108,51.377825733348,4,522560,"4 cycle parking spaces"," "," ",165777,"69-75 Central Road",109,165777,"69-75 Central Road",-0.24039839845552,522560
109,51.377836804897,2,522592,"2 cycle parking spaces"," "," ",165779,"Brinckley Road &amp;#92;/ Central Road junction",110,165779,"Brinckley Road &amp;#92;/ Central Road junction",-0.2399381573707,522592
110,51.377370600568,4,522670,"4 cycle parking spaces"," "," ",165729,"St Philips Ave &amp;#92;/ Central Road junction",111,165729,"St Philips Ave &amp;#92;/ Central Road junction",-0.23883524719027,522670
111,51.376753843629,4,522696,"4 cycle parking spaces"," "," ",165661,"Balmoral Road &amp;#92;/ Central Road junction",112,165661,"Balmoral Road &amp;#92;/ Central Road junction",-0.2384853251566,522696
112,51.376492705989,2,523817,"2 cycle parking spaces"," "," ",165659,"703 London Road",113,165659,"703 London Road",-0.2223878544624,523817
113,51.376512912144,0,523848,"0 cycle parking spaces"," "," ",165662,"710 London Road",114,165662,"710 London Road",-0.22194163637983,523848
114,51.376457680448,2,523854,"2 cycle parking spaces"," "," ",165656,"712 London Road",115,165656,"712 London Road",-0.22185756320671,523854
115,51.376167637002,2,523824,"2 cycle parking spaces"," "," ",165623,"696 London Road",116,165623,"696 London Road",-0.22229986498274,523824
116,51.376129290574,2,523835,"2 cycle parking spaces"," "," ",165619,"698 London Road",117,165619,"698 London Road",-0.22214329405948,523835
117,51.373774745036,2,523628,"2 cycle parking spaces"," "," ",165352,"Lloyd Road &amp;#92;/ London Road junction",118,165352,"Lloyd Road &amp;#92;/ London Road junction",-0.2252086868634,523628
118,51.372879056242,6,523614,"6 cycle parking spaces"," "," ",165252,"Elmcroft Community Centre, London Road",119,165252,"Elmcroft Community Centre, London Road",-0.22544447174478,523614
119,51.372551237059,2,523551,"2 cycle parking spaces"," "," ",165214,"575 London Road",120,165214,"575 London Road",-0.22636230774203,523551
120,51.372233779025,2,523523,"2 cycle parking spaces"," "," ",165178,"559 London Road",121,165178,"559 London Road",-0.22677686658495,523523
121,51.372131005564,4,523541,"4 cycle parking spaces"," "," ",165167,"538 London Road",122,165167,"538 London Road",-0.2265222221771,523541
122,51.372086861867,2,523496,"2 cycle parking spaces"," "," ",165161,"Lavender Ave &amp;#92;/ London Road junction 2",123,165161,"Lavender Ave &amp;#92;/ London Road junction 2",-0.2271704648736,523496
123,51.371971547342,2,523489,"2 cycle parking spaces"," "," ",165148,"Lavender Ave &amp;#92;/ London Road junction 1",124,165148,"Lavender Ave &amp;#92;/ London Road junction 1",-0.22727549117625,523489
124,51.371809340387,2,523491,"2 cycle parking spaces"," "," ",165130,"521 London Road",125,165130,"521 London Road",-0.22725302137997,523491
125,51.371812677558,2,523517,"2 cycle parking spaces"," "," ",165131,"530 London Road",126,165131,"530 London Road",-0.22687934003362,523517
126,51.371799402022,9,523702,"9 cycle parking spaces"," "," ",165134,"London Road - Sainsbury's",127,165134,"London Road - Sainsbury's",-0.22422188381961,523702
127,51.371677354703,2,523478,"2 cycle parking spaces"," "," ",165115,"515 London Road",128,165115,"515 London Road",-0.22744489484059,523478
128,51.371535729596,2,523468,"2 cycle parking spaces"," "," ",165099,"513 London Road",129,165099,"513 London Road",-0.22759403746885,523468
129,51.371511671221,2,523496,"2 cycle parking spaces"," "," ",165097,"522 London Road",130,165097,"522 London Road",-0.2271926819102,523496
130,51.371446942253,2,523463,"2 cycle parking spaces"," "," ",165089,"507 London Road",131,165089,"507 London Road",-0.22766930251851,523463
131,51.371384949185,2,523376,"2 cycle parking spaces"," "," ",165080,"21 Cheam Common Road",132,165080,"21 Cheam Common Road",-0.22892164847361,523376
132,51.371341183505,4,523412,"4 cycle parking spaces"," "," ",165076,"Cheam Common Road &amp;#92;/ London Road junction",133,165076,"Cheam Common Road &amp;#92;/ London Road junction",-0.22840611620097,523412
133,51.371309307649,2,523476,"2 cycle parking spaces"," "," ",165074,"508 London Road",134,165074,"508 London Road",-0.22748784300956,523476
134,51.370979165205,8,523465,"8 cycle parking spaces"," "," ",165037,"390 London Road",135,165037,"390 London Road",-0.22765863092245,523465
135,51.370803244685,4,523406,"4 cycle parking spaces"," "," ",165016,"493 London Road",136,165016,"493 London Road",-0.22851308183981,523406
136,51.370649239687,4,523453,"4 cycle parking spaces"," "," ",165000,"285 Malden Road",137,165000,"285 Malden Road",-0.22784377497501,523453
137,51.370430936372,4,523465,"4 cycle parking spaces"," "," ",164976,"275 Malden Road",138,164976,"275 Malden Road",-0.22767979988403,523465
138,51.370318144251,2,523405,"2 cycle parking spaces"," "," ",164962,"452 London Road",139,164962,"452 London Road",-0.22854617101095,523405
139,51.370229790477,2,523398,"2 cycle parking spaces"," "," ",164952,"450 London Road",140,164952,"450 London Road",-0.22865014922751,523398
140,51.368355306869,2,524082,"2 cycle parking spaces"," "," ",164760,"124 Church Hill Road",141,164760,"124 Church Hill Road",-0.21889591797917,524082
141,51.36821238297,2,524078,"2 cycle parking spaces"," "," ",164744,"141 Church Hill Road",142,164744,"141 Church Hill Road",-0.21895892875534,524078
142,51.368166608544,2,524123,"2 cycle parking spaces"," "," ",164740,"106 Church Hill Road",143,164740,"106 Church Hill Road",-0.21831422243921,524123
143,51.368118798479,2,524095,"2 cycle parking spaces"," "," ",164734,"135 Church Hill Road",144,164734,"135 Church Hill Road",-0.21871833340021,524095
144,51.367925697938,2,524115,"2 cycle parking spaces"," "," ",164713,"103 Priory Road",145,164713,"103 Priory Road",-0.21843850262815,524115
145,51.367873336099,4,524149,"4 cycle parking spaces"," "," ",164708,"131 Church Hill Road",146,164708,"131 Church Hill Road",-0.21795208459133,524149
146,51.374548303217,5,524940,"5 cycle parking spaces"," "," ",165470,"Tesco, Oldfields Road",147,165470,"Tesco, Oldfields Road",-0.20632759061759,524940
147,51.374548303217,22,524940,"22 cycle parking spaces"," "," ",165470,"Tesco, Oldfields Road",148,165470,"Tesco, Oldfields Road",-0.20632759061759,524940
148,51.367885631219,4,524175,"4 cycle parking spaces"," "," ",164710,"100 Church Hill Road",149,164710,"100 Church Hill Road",-0.21757808639018,524175
149,51.359018189484,2,526040,"2 cycle parking spaces"," "," ",163769,"2 Brighton Road",150,163769,"2 Brighton Road",-0.19113451061983,526040
